1;New York, NY;7454995;40.7128;-74.0060
2;Chicago, IL;3396808;41.8781;-87.6298
3;Philadelphia, PA;1931334;39.9526;-75.1652
4;Detroit, MI;1623452;42.3314;-83.0458
5;Los Angeles, CA;1504277;34.0522;-118.2437
6;Cleveland, OH;878336;41.4993;-81.6944
7;Baltimore, MD;859100;39.2904;-76.6122
8;St Louis, MO;816048;38.6270;-90.1994
9;Boston, MA;770816;42.3601;-71.0589
10;Pittsburgh, PA;671659;40.4406;-79.9959
11;Washington, DC;663091;38.9072;-77.0369
12;San Francisco, CA;634536;37.7749;-122.4194
13;Milwaukee, WI;587472;43.0389;-87.9065
14;Buffalo, NY;575901;42.8864;-78.8784
15;New Orleans, LA;494537;29.9511;-90.0715
16;Minneapolis, MN;492370;44.9778;-93.2650
17;Cincinnati, OH;455610;39.1031;-84.5120
18;Newark, NJ;429760;40.7357;-74.1724
19;Kansas City, MO;399178;39.0997;-94.5786
20;Indianapolis, IN;386972;39.7684;-86.1581
21;Houston, TX;384514;29.7604;-95.3698
22;Seattle, WA;368302;47.6062;-122.3321
23;Rochester, NY;324975;43.1566;-77.6088
24;Denver, CO;322412;39.7392;-104.9903
25;Louisville, KY;319077;38.2527;-85.7585
26;Columbus, OH;306087;39.9612;-82.9988
27;Portland, OR;305394;45.5051;-122.6750
28;Atlanta, GA;302288;33.7490;-84.3880
29;Oakland, CA;302163;37.8044;-122.2712
30;Jersey City, NJ;301173;40.7178;-74.0431
31;Dallas, TX;294734;32.7767;-96.7970
32;Memphis, TN;292942;35.1495;-90.0490
33;St Paul, MN;287736;44.9537;-93.0900
34;Toledo, OH;282349;41.6528;-83.5379
35;Birmingham, AL;267583;33.5186;-86.8104
36;San Antonio, TX;253854;29.4241;-98.4936
37;Providence, RI;253504;41.8240;-71.4128
37;Providence, RI;253504;41.8536;-71.4677
38;Akron, OH;244791;41.0814;-81.5190
39;Omaha, NE;223844;41.2565;-95.9345
40;Dayton, OH;210718;39.7589;-84.1916
41;Syracuse, NY;205967;43.0481;-76.1474
42;Oklahoma City, OK;204424;35.4676;-97.5164
43;San Diego, CA;203341;32.7157;-117.1611
44;Worcester, MA;193694;42.2626;-71.8023
45;Richmond, VA;193042;37.5407;-77.4360
46;Fort Worth, TX;177662;32.7555;-97.3308
47;Jacksonville, FL;173065;30.3322;-81.6557
48;Miami, FL;172172;25.7617;-80.1918
49;Youngstown, OH;167720;41.0998;-80.6495
50;Nashville, TN;167402;36.1627;-86.7816
51;Hartford, CT;166267;41.7658;-72.6734
52;Grand Rapids, MI;164292;42.9634;-85.6681
53;Long Beach, CA;164271;33.7701;-118.1937
54;New Haven, CT;160605;41.3083;-72.9279
55;Des Moines, IA;159819;41.5868;-93.6250
56;Flint, MI;151543;43.0125;-83.6875
57;Salt Lake City, UT;149934;40.7608;-111.8910
58;Springfield, MA;149554;42.1015;-72.5898
59;Bridgeport, CT;147121;41.1792;-73.1894
60;Norfolk, VA;144332;36.8508;-76.2859
61;Yonkers, NY;142598;40.9312;-73.8987
62;Tulsa, OK;142157;36.1540;-95.9928
63;Scranton, PA;140404;41.4090;-75.6624
64;Paterson, NJ;139656;40.9168;-74.1718
65;Albany, NY;130577;42.6526;-73.7562
66;Chattanooga, TN;128163;35.0456;-85.3097
67;Trenton, NJ;124697;40.2206;-74.7597
68;Spokane, WA;122001;47.6588;-117.4260
69;Kansas City, KS;121458;39.1155;-94.6268
70;Fort Wayne, IN;118410;41.0793;-85.1394
71;Camden, NJ;117536;39.9259;-75.1196
72;Erie, PA;116955;42.1292;-80.0851
73;Fall River, MA;115428;41.7015;-71.1550
74;Wichita, KS;114966;37.6872;-97.3301
75;Wilmington, DE;112504;39.7447;-75.5484
76;Gary, IN;111719;41.6020;-87.3372
77;Knoxville, TN;111580;35.9606;-83.9207
78;Cambridge, MA;110879;42.3736;-71.1097
79;Reading, PA;110568;40.3356;-75.9269
80;New Bedford, MA;110341;41.6362;-70.9342
81;Elizabeth NJ;109912;40.6640;-74.2107
82;Tacoma, WA;109408;47.2529;-122.4443
83;Canton, OH;108401;40.7989;-81.3784
84;Tampa, FL;108391;27.9506;-82.4572
85;Sacramento, CA;105958;38.5816;-121.4944
86;Peoria, IL;105087;40.6936;-89.5890
87;Somerville, MA;102177;42.3876;-71.0995
88;Lowell, MA;101389;42.6334;-71.3162
89;South Bend, IN;101268;41.6764;-86.2520
90;Duluth, MN;101065;46.7867;-92.1005
91;Charlotte, NC;100899;35.2271;-80.8431
92;Utica, NY;100518;43.1009;-75.2327
93;Waterbury, CT;99314;41.5582;-73.0515
94;Shreveport, LA;98167;32.5252;-93.7502
95;Lynn, MA;98123;42.4668;-70.9495
96;Evansville, IN;97062;37.9716;-87.5711
97;Allentown, PA;96904;40.6023;-75.4714
98;El Paso, TX;96810;31.7619;-106.4850
99;Savannah, GA;95996;32.0809;-81.0912
100;Little Rock, AR;88039;34.7465;-92.2896
