1;New York, NY;7894862;40.7128;-74.0060
2;Chicago, IL;3366957;41.8781;-87.6298
3;Los Angeles, CA;2816061;34.0522;-118.2437
4;Philadelphia, PA;1948609;39.9526;-75.1652
5;Detroit, MI;1511482;42.3314;-83.0458
6;Houston, TX;1232802;29.7604;-95.3698
7;Baltimore, MD;905759;39.2904;-76.6122
8;Dallas, TX;844401;32.7767;-96.7970
9;Washington, DC;756510;38.9072;-77.0369
10;Cleveland, OH;750903;41.4993;-81.6944
11;Indianapolis, IN;744624;39.7684;-86.1581
12;Milwaukee, WI;717099;43.0389;-87.9065
13;San Francisco, CA;715674;37.7749;-122.4194
14;San Diego, CA;696769;32.7157;-117.1611
15;San Antonio, TX;654153;29.4241;-98.4936
16;Boston, MA;641071;42.3601;-71.0589
17;Memphis, TN;623530;35.1495;-90.0490
18;St Louis, MO;622236;38.6270;-90.1994
19;New Orleans, LA;593471;29.9511;-90.0715
20;Phoenix, AZ;581562;33.4484;-112.0740
21;Columbus, OH;539677;39.9612;-82.9988
22;Seattle, WA;530831;47.6062;-122.3321
23;Jacksonville, FL;528865;30.3322;-81.6557
24;Pittsburgh, PA;520117;40.4406;-79.9959
25;Denver, CO;514678;39.7392;-104.9903
26;Kansas City, MO;507087;39.0997;-94.5786
27;Atlanta, GA;496973;33.7490;-84.3880
28;Buffalo, NY;462768;42.8864;-78.8784
29;Cincinnati, OH;452524;39.1031;-84.5120
30;Nashville-Davidson, TN;448003;36.1627;-86.7816
31;San Jose, CA;445779;37.3382;-121.8863
32;Minneapolis, MN;434400;44.9778;-93.2650
33;Fort Worth, TX;393476;32.7555;-97.3308
34;Toledo, OH;383818;41.6528;-83.5379
35;Portland, OR;382619;45.5051;-122.6750
36;Newark, NJ;382417;40.7357;-74.1724
37;Oklahoma City, OK;366481;35.4676;-97.5164
38;Oakland, CA;361561;37.8044;-122.2712
39;Louisville, KY;361472;38.2527;-85.7585
40;Long Beach, CA;358633;33.7701;-118.1937
41;Omaha, NE;347328;41.2565;-95.9345
42;Miami, FL;334859;25.7617;-80.1918
43;Tulsa, OK;331638;36.1540;-95.9928
44;Honolulu, HI;324871;21.3069;-157.8583
45;El Paso, TX;322261;31.7619;-106.4850
46;St Paul, MN;309980;44.9537;-93.0900
47;Norfolk, VA;307951;36.8508;-76.2859
48;Birmingham, AL;300910;33.5186;-86.8104
49;Rochester, NY;296233;43.1566;-77.6088
50;Tampa, FL;277767;27.9506;-82.4572
51;Wichita, KS;276554;37.6872;-97.3301
52;Akron, OH;275425;41.0814;-81.5190
53;Tucson, AZ;262933;32.2226;-110.9747
54;Jersey City, NJ;260545;40.7178;-74.0431
55;Sacramento, CA;254413;38.5816;-121.4944
56;Austin, TX;251808;30.2672;-97.7431
57;Richmond, VA;249621;37.5407;-77.4360
58;Albuquerque, NM;243751;35.0844;-106.6504
59;Dayton, OH;243601;39.7589;-84.1916
60;Charlotte, NC;241178;35.2271;-80.8431
61;St Petersburg, FL;216232;27.7676;-82.6403
62;Corpus Christi, TX;204525;27.8006;-97.3964
63;Yonkers, NY;204297;40.9312;-73.8987
64;Des Moines, IA;200587;41.5868;-93.6250
65;Grand Rapids, MI;197649;42.9634;-85.6681
66;Syracuse, NY;197208;43.0481;-76.1474
67;Flint, MI;193317;43.0125;-83.6875
68;Mobile, AL;190026;30.6954;-88.0399
69;Shreveport, LA;182064;32.5252;-93.7502
70;Warren, MI;179260;42.5145;-83.0147
71;Providence, RI;179213;41.8240;-71.4128
71;Providence, RI;179213;41.8536;-71.4677
72;Fort Wayne, IN;177671;41.0793;-85.1394
73;Worcester MA;176572;42.2626;-71.8023
74;Salt Lake City, UT;175885;40.7608;-111.8910
75;Gary, IN;175415;41.6020;-87.3372
76;Knoxville, TN;174587;35.9606;-83.9207
77;Arlington, VA;174284;38.8816;-77.0910
78;Madison, WI;173258;43.0731;-89.4012
79;Virginia Beach, VA;172106;36.8529;-75.9780
80;Spokane, WA;170516;47.6588;-117.4260
81;Kansas City, KS;168213;39.1155;-94.6268
82;Anaheim, CA;166701;33.8366;-117.9143
83;Fresno, CA;165972;36.7378;-119.7871
84;Baton Rouge, LA;165963;30.4515;-91.1871
85;Springfield, MA;163905;42.1015;-72.5898
86;Hartford, CT;158017;41.7658;-72.6734
87;Santa Ana, CA;156601;33.7455;-117.8677
88;Bridgeport, CT;156542;41.1792;-73.1894
89;Tacoma, WA;154581;47.2529;-122.4443
90;Columbus, GA;154168;32.4610;-84.9877
91;Jackson, MS;153968;32.2988;-90.1848
92;Lincoln, NE;149518;40.8136;-96.7026
93;Lubbock TX;149101;33.5779;-101.8552
94;Rockford, IL;147370;42.2711;-89.0940
95;Paterson, NJ;144824;40.9168;-74.1718
96;Greensboro, NC;144076;36.0726;-79.7920
97;Riverside, CA;140089;33.9806;-117.3755
98;Youngstown, OH;139788;41.0998;-80.6495
99;Fort Lauderdale, FL;139590;26.1224;-80.1373
100;Evansville, IN;138764;37.9716;-87.5711
