1;New York, NY;7071639;40.7128;-74.0060
2;Chicago, IL;3005072;41.8781;-87.6298
3;Los Angeles, CA;2966850;34.0522;-118.2437
4;Philadelphia, PA;1688210;39.9526;-75.1652
5;Houston, TX;1595138;29.7604;-95.3698
6;Detroit, MI;1203339;42.3314;-83.0458
7;Dallas, TX;904078;32.7767;-96.7970
8;San Diego, CA;875538;32.7157;-117.1611
9;Phoenix, AZ;789704;33.4484;-112.0740
10;Baltimore, MD;786775;39.2904;-76.6122
11;San Antonio, TX;785880;29.4241;-98.4936
12;Indianapolis, IN;700807;39.7684;-86.1581
13;San Francisco, CA;678974;37.7749;-122.4194
14;Memphis, TN;646356;35.1495;-90.0490
15;Washington, DC;638333;38.9072;-77.0369
16;Milwaukee, WI;636212;43.0389;-87.9065
17;San Jose, CA;629442;37.3382;-121.8863
18;Cleveland, OH;573822;41.4993;-81.6944
19;Columbus, OH;564871;39.9612;-82.9988
20;Boston, MA;562994;42.3601;-71.0589
21;New Orleans, LA;557515;29.9511;-90.0715
22;Jacksonville, FL;540920;30.3322;-81.6557
23;Seattle, WA;493846;47.6062;-122.3321
24;Denver, CO;492365;39.7392;-104.9903
25;Nashville-Davidson, TN;455651;36.1627;-86.7816
26;St Louis, MO;453085;38.6270;-90.1994
27;Kansas City, MO;448159;39.0997;-94.5786
28;El Paso, TX;425259;31.7619;-106.4850
29;Atlanta, GA;425022;33.7490;-84.3880
30;Pittsburgh, PA;423938;40.4406;-79.9959
31;Oklahoma City, OK;403213;35.4676;-97.5164
32;Cincinnati, OH;385457;39.1031;-84.5120
33;Fort Worth, TX;385164;32.7555;-97.3308
34;Minneapolis, MN;370951;44.9778;-93.2650
35;Portland, OR;366383;45.5051;-122.6750
36;Honolulu, HI;365048;21.3069;-157.8583
37;Long Beach, CA;361334;33.7701;-118.1937
38;Tulsa, OK;360919;36.1540;-95.9928
39;Buffalo, NY;357870;42.8864;-78.8784
40;Toledo, OH;354635;41.6528;-83.5379
41;Miami, FL;346865;25.7617;-80.1918
42;Austin, TX;345496;30.2672;-97.7431
43;Oakland, CA;339337;37.8044;-122.2712
44;Albuquerque, NM;331767;35.0844;-106.6504
45;Tucson, AZ;330537;32.2226;-110.9747
46;Newark, NJ;329248;40.7357;-74.1724
47;Charlotte, NC;314447;35.2271;-80.8431
48;Omaha, NE;314255;41.2565;-95.9345
49;Louisville, KY;298451;38.2527;-85.7585
50;Birmingham, AL;284413;33.5186;-86.8104
51;Wichita, KS;279272;37.6872;-97.3301
52;Sacramento, CA;275741;38.5816;-121.4944
53;Tampa, FL;271523;27.9506;-82.4572
54;St Paul, MN;270230;44.9537;-93.0900
55;Norfolk, VA;266979;36.8508;-76.2859
56;Virginia Beach, VA;262199;36.8529;-75.9780
57;Rochester, NY;241741;43.1566;-77.6088
58;St Petersburg, FL;238647;27.7676;-82.6403
59;Akron, OH;237177;41.0814;-81.5190
60;Corpus Christi, TX;231999;27.8006;-97.3964
61;Jersey City, NJ;223532;40.7178;-74.0431
62;Baton Rouge, LA;219419;30.4515;-91.1871
63;Anaheim, CA;219311;33.8366;-117.9143
64;Richmond, VA;219214;37.5407;-77.4360
65;Fresno, CA;218202;36.7378;-119.7871
66;Colorado Springs, CO;215150;38.8339;-104.8214
67;Shreveport, LA;205820;32.5252;-93.7502
68;Lexington-Fayette, KY;204165;38.0406;-84.5037
69;Santa Ana, CA;203713;33.7455;-117.8677
70;Dayton, OH;203371;39.7589;-84.1916
71;Jackson, MS;202895;32.2988;-90.1848
72;Mobile, AL;200452;30.6954;-88.0399
73;Yonkers, NY;195351;40.9312;-73.8987
74;Des Moines, IA;191003;41.5868;-93.6250
75;Grand Rapids, MI;181843;42.9634;-85.6681
76;Montgomery, AL;177857;32.3792;-86.3077
77;Knoxville, TN;175030;35.9606;-83.9207
78;Anchorage, AK;174431;61.2181;-149.9003
79;Lubbock, TX;173979;33.5779;-101.8552
80;Fort Wayne, IN;172196;41.0793;-85.1394
81;Lincoln, NE;171932;40.8136;-96.7026
82;Spokane, WA;171300;47.6588;-117.4260
83;Riverside, CA;170876;33.9806;-117.3755
84;Madison, WI;170616;43.0731;-89.4012
85;Huntington Beach, CA;170505;33.6595;-117.9988
86;Syracuse, NY;170105;43.0481;-76.1474
87;Chattanooga, TN;169565;35.0456;-85.3097
88;Columbus, GA;169441;32.4610;-84.9877
89;Las Vegas, NV;164674;36.1699;-115.1398
89;Las Vegas, NV;164674;36.1989;-115.1175
90;Metairie, LA;164160;29.9841;-90.1529
91;Salt Lake City, UT;163033;40.7608;-111.8910
92;Worcester, MA;161799;42.2626;-71.8023
93;Warren, MI;161134;42.5145;-83.0147
94;Kansas City, KS;161087;39.1155;-94.6268
95;Arlington, TX;160113;32.7357;-97.1081
96;Flint, MI;159611;43.0125;-83.6875
97;Aurora, CO;158588;39.7294;-104.8319
98;Tacoma, WA;158501;47.2529;-122.4443
99;Little Rock, AR;158461;34.7465;-92.2896
100;Providence, RI;156804;41.8240;-71.4128
100;Providence, RI;156804;41.8536;-71.4677
