1;New York, NY;5620048;40.7128;-74.0060
2;Chicago, IL;2701705;41.8781;-87.6298
3;Philadelphia, PA;1823779;39.9526;-75.1652
4;Detroit, MI;993078;42.3314;-83.0458
5;Cleveland, OH;796841;41.4993;-81.6944
6;St Louis, MO;772897;38.6270;-90.1994
7;Boston, MA;748060;42.3601;-71.0589
8;Baltimore, MD;733826;39.2904;-76.6122
9;Pittsburgh, PA;588343;40.4406;-79.9959
10;Los Angeles, CA;576673;34.0522;-118.2437
11;Buffalo, NY;506775;42.8864;-78.8784
12;San Francisco, CA;506676;37.7749;-122.4194
13;Milwaukee, WI;457147;43.0389;-87.9065
14;Washington, DC;437571;38.9072;-77.0369
15;Newark, NJ;414524;40.7357;-74.1724
16;Cincinnati, OH;401247;39.1031;-84.5120
17;New Orleans, LA;387219;29.9511;-90.0715
18;Minneapolis, MN;380582;44.9778;-93.2650
19;Kansas City, MO;324410;39.0997;-94.5786
20;Seattle, WA;315312;47.6062;-122.3321
21;Indianapolis, IN;314194;39.7684;-86.1581
22;Jersey City, NJ;298103;40.7178;-74.0431
23;Rochester, NY;295750;43.1566;-77.6088
24;Portland, OR;258288;45.5051;-122.6750
25;Denver, CO;256491;39.7392;-104.9903
26;Toledo, OH;243164;41.6528;-83.5379
27;Providence, RI;237595;41.8240;-71.4128
27;Providence, RI;237595;41.8536;-71.4677
28;Columbus, OH;237031;39.9612;-82.9988
29;Louisville, KY;234891;38.2527;-85.7585
30;St Paul, MN;234698;44.9537;-93.0900
31;Oakland, CA;216261;37.8044;-122.2712
32;Akron, OH;208435;41.0814;-81.5190
33;Atlanta, GA;200616;33.7490;-84.3880
34;Omaha, NE;191601;41.2565;-95.9345
35;Worcester, MA;179754;42.2626;-71.8023
36;Birmingham, AL;178806;33.5186;-86.8104
37;Syracuse, NY;171717;43.0481;-76.1474
38;Richmond, VA;171667;37.5407;-77.4360
39;New Haven, CT;162537;41.3083;-72.9279
40;Memphis, TN;162351;35.1495;-90.0490
41;San Antonio, TX;161379;29.4241;-98.4936
42;Dallas, TX;158976;32.7767;-96.7970
43;Dayton, OH;152559;39.7589;-84.1916
44;Bridgeport, CT;143555;41.1792;-73.1894
45;Houston, TX;138276;29.7604;-95.3698
46;Hartford, CT;138036;41.7658;-72.6734
47;Scranton, PA;137783;41.4090;-75.6624
48;Grand Rapids, MI;137634;42.9634;-85.6681
49;Paterson, NJ;135875;40.9168;-74.1718
50;Youngstown, OH;132358;41.0998;-80.6495
51;Springfield, MA;129614;42.1015;-72.5898
52;Des Moines, IA;126468;41.5868;-93.6250
53;New Bedford, MA;121217;41.6362;-70.9342
54;Fall River, MA;120485;41.7015;-71.1550
55;Trenton, NJ;119289;40.2206;-74.7597
56;Nashville, TN;118342;36.1627;-86.7816
57;Salt Lake City, UT;118110;40.7608;-111.8910
58;Camden, NJ;116309;39.9259;-75.1196
59;Norfolk, VA;115777;36.8508;-76.2859
60;Albany, NY;113344;42.6526;-73.7562
61;Lowell, MA;112759;42.6334;-71.3162
62;Wilmington, DE;110168;39.7447;-75.5484
63;Cambridge, MA;109694;42.3736;-71.1097
64;Reading, PA;107784;40.3356;-75.9269
65;Fort Worth, TX;106482;32.7555;-97.3308
66;Spokane, WA;104437;47.6588;-117.4260
67;Kansas City, KS;101177;39.1155;-94.6268
68;Yonkers, NY;100176;40.9312;-73.8987
69;Lynn, MA;99148;42.4668;-70.9495
70;Duluth, MN;98917;46.7867;-92.1005
71;Tacoma, WA;96965;47.2529;-122.4443
72;Elizabeth, NJ;95783;40.6640;-74.2107
73;Lawrence, MA;94270;42.7070;-71.1631
74;Utica, NY;94156;43.1009;-75.2327
75;Erie, PA;93372;42.1292;-80.0851
76;Somerville, MA;93091;42.3876;-71.0995
77;Waterbury, CT;91715;41.5582;-73.0515
78;Flint, MI;91599;43.0125;-83.6875
79;Jacksonville, FL;91558;30.3322;-81.6557
80;Oklahoma City, OK;91295;35.4676;-97.5164
81;Schenectady, NY;88723;42.8142;-73.9396
82;Canton, OH;87091;40.7989;-81.3784
83;Fort Wayne, IN;86549;41.0793;-85.1394
84;Evansville, IN;85264;37.9716;-87.5711
85;Savannah, GA;83252;32.0809;-81.0912
86;Manchester, NH;78384;42.9956;-71.4548
87;St Joseph, MO;77939;39.7675;-94.8467
88;Knoxville, TN;77818;35.9606;-83.9207
89;El Paso, TX;77560;31.7619;-106.4850
90;Bayonne, NJ;76754;40.6687;-74.1143
91;Peoria, IL;76121;40.6936;-89.5890
92;Harrisburg, PA;75917;40.2732;-76.8867
93;San Diego, CA;74683;32.7157;-117.1611
94;Wilkes-Barre, PA;73833;41.2459;-75.8813
95;Allentown, PA;73502;40.6023;-75.4714
96;Wichita, KS;72217;37.6872;-97.3301
97;Tulsa, OK;72075;36.1540;-95.9928
98;Troy, NY;71996;42.7284;-73.6918
99;Sioux City, IA;71227;42.4963;-96.4049
100;South Bend, IN;70983;41.6764;-86.2520
