1;New York, NY;4766883;40.7128;-74.0060
2;Chicago, IL;2185283;41.8781;-87.6298
3;Philadelphia, PA;1549008;39.9526;-75.1652
4;St Louis, MO;687029;38.6270;-90.1994
5;Boston, MA;670585;42.3601;-71.0589
6;Cleveland, OH;560663;41.4993;-81.6944
7;Baltimore, MD;558485;39.2904;-76.6122
8;Pittsburgh, PA;533905;40.4406;-79.9959
9;Detroit, MI;465766;42.3314;-83.0458
10;Buffalo, NY;423715;42.8864;-78.8784
11;San Francisco, CA;416912;37.7749;-122.4194
12;Milwaukee, WI;373857;43.0389;-87.9065
13;Cincinnati, OH;363591;39.1031;-84.5120
14;Newark, NJ;347469;40.7357;-74.1724
15;New Orleans, LA;339075;29.9511;-90.0715
16;Washington, DC;331069;38.9072;-77.0369
17;Los Angeles, CA;319198;34.0522;-118.2437
18;Minneapolis, MN;301408;44.9778;-93.2650
19;Jersey City, NJ;267779;40.7178;-74.0431
20;Kansas City, MO;248381;39.0997;-94.5786
21;Seattle, WA;237194;47.6062;-122.3321
22;Indianapolis, IN;233650;39.7684;-86.1581
23;Providence, RI;224326;41.8240;-71.4128
23;Providence, RI;224326;41.8536;-71.4677
24;Louisville, KY;223928;38.2527;-85.7585
25;Rochester, NY;218149;43.1566;-77.6088
26;St Paul, MN;214744;44.9537;-93.0900
27;Denver, CO;213381;39.7392;-104.9903
28;Portland, OR;207214;45.5051;-122.6750
29;Columbus, OH;181511;39.9612;-82.9988
30;Toledo, OH;168497;41.6528;-83.5379
31;Atlanta, GA;154839;33.7490;-84.3880
32;Oakland, CA;150174;37.8044;-122.2712
33;Worcester, MA;145986;42.2626;-71.8023
34;Syracuse, NY;137249;43.0481;-76.1474
35;New Haven, CT;133605;41.3083;-72.9279
36;Birmingham, AL;132685;33.5186;-86.8104
37;Memphis, TN;131105;35.1495;-90.0490
38;Scranton, PA;129867;41.4090;-75.6624
39;Richmond, VA;127628;37.5407;-77.4360
40;Paterson, NJ;125600;40.9168;-74.1718
41;Omaha, NE;124096;41.2565;-95.9345
42;Fall River, MA;119295;41.7015;-71.1550
43;Dayton, OH;116577;39.7589;-84.1916
44;Grand Rapids, MI;112571;42.9634;-85.6681
45;Nashville, TN;110364;36.1627;-86.7816
46;Lowell, MA;106294;42.6334;-71.3162
47;Cambridge, MA;104839;42.3736;-71.1097
48;Spokane, WA;104402;47.6588;-117.4260
49;Bridgeport, CT;102054;41.1792;-73.1894
50;Albany, NY;100253;42.6526;-73.7562
51;Hartford, CT;98915;41.7658;-72.6734
52;Trenton, NJ;96815;40.2206;-74.7597
53;New Bedford, MA;96652;41.6362;-70.9342
54;San Antonio, TX;96614;29.4241;-98.4936
55;Reading, PA;96071;40.3356;-75.9269
56;Camden, NJ;94538;39.9259;-75.1196
57;Salt Lake City, UT;92777;40.7608;-111.8910
58;Dallas, TX;92104;32.7767;-96.7970
59;Lynn, MA;89336;42.4668;-70.9495
60;Springfield, MA;88926;42.1015;-72.5898
61;Wilmington, DE;87411;39.7447;-75.5484
62;Des Moines, IA;86368;41.5868;-93.6250
63;Lawrence, MA;85892;42.7070;-71.1631
64;Tacoma, WA;83743;47.2529;-122.4443
65;Kansas City, KS;82331;39.1155;-94.6268
66;Yonkers, NY;79803;40.9312;-73.8987
67;Youngstown, PA;79066;40.2798;-79.3656
68;Houston, TX;78800;29.7604;-95.3698
69;Duluth MN;78466;46.7867;-92.1005
70;St Joseph, MO;77403;39.7675;-94.8467
71;Somerville, MA;77236;42.3876;-71.0995
72;Troy, NY;76813;42.7284;-73.6918
73;Utica, NY;74419;43.1009;-75.2327
74;Elizabeth, NJ;73409;40.6640;-74.2107
75;Fort Worth, TX;73312;32.7555;-97.3308
76;Waterbury, CT;73141;41.5582;-73.0515
77;Schenectady, NY;72826;42.8142;-73.9396
78;Hoboken, NJ;70324;40.7440;-74.0324
79;Manchester, NH;70063;42.9956;-71.4548
80;Evansville, IN;69647;37.9716;-87.5711
81;Akron, OH;69067;41.0814;-81.5190
82;Norfolk, VA;67452;36.8508;-76.2859
83;Wilkes-Barre, PA;67105;41.2459;-75.8813
84;Peoria, IL;66950;40.6936;-89.5890
85;Erie, PA;66525;42.1292;-80.0851
86;Savannah, GA;65064;32.0809;-81.0912
87;Oklahoma City, OK;64205;35.4676;-97.5164
88;Harrisburg, PA;64186;40.2732;-76.8867
89;Fort Wayne, IN;63933;41.0793;-85.1394
90;Charleston, SC;58833;32.7765;-79.9311
91;Portland, ME;58571;43.6591;-70.2568
92;East St Louis, IL;58547;38.6245;-90.1506
93;Terre Haute, IN;58157;39.4667;-87.4139
94;Holyoke, MA;57730;42.2043;-72.6162
95;Jacksonville, FL;57699;30.3322;-81.6557
96;Brockton, MA;56878;42.0834;-71.0184
97;Bayonne, NJ;55545;40.6687;-74.1143
98;Johnstown, PA;55482;40.3267;-78.9220
99;Passaic, NJ;54773;40.8568;-74.1285
100;South Bend, IN;53684;41.6764;-86.2520
